NW1,NW2,NW3,NW4,NW5,NW6,NW7,NW8,NW9,NW10,NW11,NW12,NW13,NW14,NW15,NW16,NW17,NW18,NW19,NW20
MIN,PTM,PAYTM,A,,,,,,,,,,,,,,,,
IIN,PayTm,Mobil,,,,,,,,,,,,,,,,,
INF,,Salary,Mar,,,,,,,,,,,,,,,,
MMT,Ref,,,,,,,,,,,,,,,,,,
ATM,CASH,WDL,,,,,,,,,,,,,,,,,
NFS,CASH,WDL,,,,Fee,Rs.,ST,Rs.,,,,,,,,,,
INFOTECH,BUSINESS,S,,ICI,,,,,,,,,,,,,,,
,,ICICI,,,,,,,,,,,,,,,,,
IIN,I,Debit,Vodafone,,,,,,,,,,,,,,,,
NEFT,SBIN,Mr,RADHA,RAMAN,,ATTN,,INB,,,,,,,,,,,
Chrg,,CW,XXXXXX,,A,,,Ref#,TBMS,,,,,,,,,,
Chrg,,Daily,Bal,Alerts,charges,for,AMJ,,,Ref#,TBMS,,,,,,,,
CASH,WITHDRAWAL,BY,SANJAY,KUMAR,,,,,,,,,,,,,,,
SAI,TRADING,COMP,,,,,,,,,,,,,,,,,
ATL,,,,SBP,OPP.MCD,PRY.SCHNEW,DEL,,Ref#,,,,,,,,,,
GARG,HYDRAULICS,,,,,,,,,,,,,,,,,,
BY,CLG,INST,,COB,AT,NEW,DELHI,,,,,,,,,,,,
IB,VESTIGE,MAY,FBD,Ref,,,Ref#,IMPS,,,,,,,,,,,
AP,BILLPAY,FOR,BP,VODAFONE,,,Ref#,EBPP,,,,,,,,,,,
ECSIDR,TP,ACH,IILAD,KMB,,,,,,,,,,,,,,,
FUND,TRF,TO,OM,AUTOELECTRO,PVT,LTD,,,,,,,,,,,,,
Chrg,,IMPS,Transaction,Dated,,,Ref#,TBMS,,,,,,,,,,,
ECSIDR,LENDING,KART,FINANCEAD,KMB,LK,,,,,,,,,,,,,,
ATW,,BOOTH,NO,,SECTOR,GRGHRIN,,Ref#,,,,,,,,,,,
CASH,DEPOSIT,SEC,,GGN,,,,,,,,,,,,,,,
Bulk,trn,Chg,Apr,,,S,Tax.,,,,,,,,,,,,
ACH,Janalakshmi,Financia,,,,,,,,,,,,,,,,,
CASH,PAID,SELFCHQ,,,,,,,,,,,,,,,,,
KOTAK,MAHINDRA,BANK,,,,,,,,,,,,,,,,,
LBTNE,LN,INST,MAY,,,,,,,,,,,,,,,,
CMS,,AD_CAPFIRL__,,,,,,,,,,,,,,,,,
ICICI,BANK,LOAN,A,C,NO.,LHMUM,,,,,,,,,,,,,
MMT,,,,,,,,,,,,,,,,,,,
SANTOSH,KALLAL,KANOJIYA,,,,,,,,,,,,,,,,,
HDB,FINANCIAL,SERVICES,LT,,,,,,,,,,,,,,,,
NHMUM,LN,INST,MAY,,,,,,,,,,,,,,,,
BRAHME,SANJIV,GAN,,TJS,,,,,,,,,,,,,,,
MPS,SUPER,FAST,,,,,,,,,,,,,,,,,
PRAJAKTA,D,JATHAR,,AXIS,,,,,,,,,,,,,,,
Dbt,card,Chg,Apr,,,,S,Tax.,,,,,,,,,,,
Mob,alrt,Chg,Apr,,,,S,Tax.,,,,,,,,,,,
BY,CASH,,,THANE,MANPADA,,,,,,,,,,,,,,
ATM,XFR,CR,,,,,,,,,,,,,,,,,
SIDHIVINAYAKJEWELLERS,,,,,,,,,,,,,,,,,,,
ACH,APHELION,FINANCE,PL,,,,,,,,,,,,,,,,
Chq,book,Chg,,May,,,S,Tax.,,,,,,,,,,,
OM,PRAKASH,,,,,,,,,,,,,,,,,,
BY,TRANSFER,Transfer,through,GCC,TRANSFER,FROM,,,,,,,,,,,,,
by,debit,card,POS,,C,RLY,KOPAR,KHAIRNE,BOMUMBAI,,,,,,,,,,
ATM,WDL,ATM,CASH,,KOPARKHIRANE,THANE,,,,,,,,,,,,,
BY,TRANSFER,NEFT,HDFC,N,SHETH,G,V,M,N,RE,TRANSFER,FROM,,,,,,,
TO,TRANSFER,,,TRANSFER,TO,,,,,,,,,,,,,,
DEBIT,CHARGES,FOR,SMS,,,QUARTERLY,,,,,,,,,,,,,
CREDIT,INTEREST,,,,,,,,,,,,,,,,,,
by,debit,card,SBIPG,www.helpchat.in,chandigarh,,,,,,,,,,,,,,
BY,CLEARING,,,CHEQUE,UBI,ByClearing,,,,,,,,,,,,,
BULK,POSTING,,DT,RR,,,,,,,,,,,,,,,
DEBIT,Tx,,,,,RP_CCAVI,,,,,,,,,,,,,
REVERSE,ATM,WDL,,,,,,,,,,,,,,,,,
DEBIT,ACHDr,CITI,BD,LNT,MF,,,,,,,,,,,,,,
TO,CLEARING,HDF,Reliance,Small,Cap,Fund,,,,,,,,,,,,,
by,debit,card,SBIPOSJUBILANT,FOODWORKS,LTD,MUMBAI,,,,,,,,,,,,,
